symbol,name,category,date,adj_close,source
XLU,Utilities Select Sector SPDR,Sector,2003-08-01,4.805167,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-09-01,4.999202,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-10-01,5.078644,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-11-01,5.090162,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-12-01,5.373458,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-01-01,5.535257,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-02-01,5.639872,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-03-01,5.653820,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-04-01,5.456249,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-05-01,5.521873,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-06-01,5.568748,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-07-01,5.702620,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-08-01,5.934315,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-09-01,5.922494,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-10-01,6.262835,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-11-01,6.541767,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2004-12-01,6.639513,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2005-01-01,6.844888,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2005-02-01,6.991705,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2005-03-01,7.015769,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2005-04-01,7.287274,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2005-05-01,7.282427,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2005-06-01,7.653461,Yahoo Finance monthly adjusted close
